
かわのぼうし,65G,32G,2,主ビヘフ男女サピACEGHJKLMNOP,　
とんがりぼうし,70G,35G,3,サBDFK,　
きのぼうし,120G,60G,6,主ヘサピACEHJLMNOP,　
ヘアバンド,150G,75G,7,ビフ女デ,　
かいがらぼうし,150G,75G,7,BD,　
けがわのフード,400G,200G,11,主ビフ男女GK,　
ぎんのかみかざり,450G,225G,14,ビフ女デ,　
てつかぶと,1100G,550G,16,主ヘ男サピACEHJLMNOP,　
シルクハット,2000G,1000G,20,サBDFGIK,　
てっかめん,3500G,1750G,25,主男ピCEJMNOP,　
かぜのぼうし,5000G,2500G,28,ビフ女BDHKL,道具でキメラのつばさ（移動中のみ）
シルクのヴェール,-Ｇ,-Ｇ,30,ビフデ,　
レヌールのおうかん,-Ｇ,-Ｇ,30,主男,　
サタンヘルム,-Ｇ,4250G,30,GJMNP,　
しあわせのぼうし,-Ｇ,4500G,35,ビフ女サAB,歩くごとにＭＰが回復
ちりょくのかぶと,13000G,6500G,40,主男ピCEFJLP,賢さ＋１５
おうごんのティアラ,-Ｇ,-Ｇ,45,ビフ女デ,補助呪文耐性
グレートヘルム,20000G,10000G,45,主男サピACDEHJMNO,　
てんくうのかぶと,-Ｇ,-Ｇ,50,男,　
たいようのかんむり,-Ｇ,-Ｇ,60,主,メガンテ耐性
メタルキングヘルム,-Ｇ,15000G,70,主ビ男サピABCEJMNP,　
名前,買値,売値,守,装備,備考
