ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 17, 10, 20, 3," 
7", 35, 15,    741
 5, 25, 19, 23, 6, 17, 58, 19,    1160
 10, 36, 44, 28, 15,  41, 72, 30,   4486
 15, 50, 68, 42, 23, 54, 114, 45,   20331
 20, 61, 86, 51, 30, 59, 145, 55,  67719
 25, 68, 100, 56, 34, 64, 166, 63,  142196
 30, 77, 115, 61, 37, 67, 178, 98, 281600
 35, 86, 137, 66, 40, 70, 185, 141, 569764
 40, 96, 153, 72, 43, 73, 196, 184, 1144292
 45, 103, 155, 75, 44, 83, 215, 234, 1818670
 50, 111, 158, 79, 45, 94, 233, 284, 2493047
 55, 119, 160, 83, 46, 105, 252, 334, 3167425
 60, 127, 163, 87, 48, 116, 270, 385, 3841803
 65, 134, 165, 96, 50, 119, 284, 401, 4516180
 70, 142, 168, 105, 53, 123, 299, 417, 5190558
 75, 149, 170, 115, 55, 127, 315, 434, 5864936
 80, 157, 173, 124, 58, 131, 329, 448, 6539313
 85, 164, 175, 133, 60, 134, 343, 463, 7213691
 90, 172, 178, 143, 63, 138, 357, 478, 7888069
 95, 179, 180, 152, 65,"
142", 371, 493, 8562446
 99, 187, 180, 163, 68,"
143", 387, 510, 9101948
