
はめつのたて,4200G,2100G,0,主男サピCEJLMNO,[呪]守備力が０にメラ・ギラ・バギ・ヒャドのダメージが２０増
おなべのふた,40G,20G,2,ビヘフ女サBHP,　
かわのたて,70G,35G,4,主ビヘフ男女サピCEGHJLMNOP,　
うろこのたて,180G,90G,7,主ビヘフ男女サピCEGHJLMNOP,　
フラワーパラソル,1000G,500G,8,デ,DS版でのみ登場
せいどうのたて,370G,185G,11,主ヘ男サピCEJLMNOP,　
てつのたて,720G,360G,16,主ヘ男サピCEJLMNO,炎・吹雪のダメージが４減る
マジックシールド,3400G,1700G,22,主男BEMN,メラ系・ギラ系・炎のダメージが７減る
ドラゴンシールド,7100G,3550G,30,主男ピCEJMNO,炎・吹雪のダメージが１０減る※DS版では10ではなく15減
ふうじんのたて,4700G,2350G,35,主男サEN,炎・吹雪のダメージが１０減る/道具で敵全体にニフラム
ダークシールド,-Ｇ,4900G,37,EGJMNP,道具で使用者にマホキテ
おおきなメダル,-Ｇ,-Ｇ,40,サC,　
ほのおのたて,17000G,8500G,40,主男ピCLO,ヒャド系・吹雪のダメージが１５減る
ちからのたて,25000G,12500G,45,主男E,道具で使用者にベホイミ
オーガシールド,-Ｇ,9900G,48,主サCEJMN,炎・吹雪のダメージが１０減る
みかがみのたて,33000G,16500G,55,主男女BEM,メラ系・ギラ系・炎のダメージが１５減る
てんくうのたて,-Ｇ,-Ｇ,60,男,炎・吹雪のダメージが１５減る/道具で使用者にマホカンタ
ひかりのたて,-Ｇ,-Ｇ,65,主,炎・吹雪のダメージが２０減る
メタルキングのたて,50M,12500G,70,主男サピBCEJMNP,補助呪文耐性
名前,買値,売値,守,装備,備考
