ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 4, 19, 15, 21, 25,  30, 40,16,    1867
 5, 20, 15, 23, 25,  30, 46,20,    2988
10, 30,25, 30, 25,  40, 62,44,   9467
15, 37,40, 34, 27, 40,84,54,   27382
20, 41,59, 40,35, 40,112,70,  71453
25, 48,66,49,45, 45,152,88,  138414
30,55,73,58,55, 50,192,106, 230315
35,59,80,62,60, 54,210,138, 386335
40,63,87,66,66, 58,228,171, 667570
45,67,95,70,72, 62,246,204,1160363
50,72,102,75,77, 67,262,230,1722758
55,78,110,81,82, 73,278,257,2285153
60,84,117,86,87, 79,294,283,2847548
65,90,125,90,93, 85,310,310,3409942
70,95,132,103,94, 87,338,338,3972337
75,100,140,114,95, 89,367,367,4534732
80,105,148,125,96, 91,395,395,5097127
85,110,156,136,97, 93,424,424,5659522
90,115,164,147,98, 95,452,452,6221917
95,120,172,158,99,97,481,481,8562446
99,125,180,170,100,100,510,510,7234227
