ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
15, 67,62, 52, 21, 45,115,0,   7790
20, 74,70, 57,24, 46,131,0,  42549
25, 93,80,58,27, 48,191,0,  117207
30,113,91,60,30, 51,251,0, 234107
35,127,102,62,33, 55,291,0, 417116
40,141,113,64,37, 59,331,0, 703613
45,155,125,67,41, 64,371,0,1142995
50,166,134,74,45, 72,387,0,1629644
55,178,143,81,50, 80,404,0,2116293
60,190,152,89,55, 88,421,0,2602943
65,198,164,96,60, 89,432,0,3089592
70,206,177,104,66, 91,443,0,3576241
75,214,190,111,71, 92,454,0,4062891
80,222,203,119,77, 94,466,0,4549540
85,230,216,127,83, 95,477,0,5036190
90,238,229,134,88, 97,488,0,5522839
95,246,242,142,94,98,499,0,6009488
99,255,255,150,100,100,511,0,6398808
