ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 44, 20, 45, 20,  25, 40, 0,    0
 5, 50, 32, 45, 20,  30, 64, 0,    1891
 10, 54, 46, 48, 25,  30, 84, 1,   5263
 15, 60, 60, 52, 31, 40, 136, 1,   14666
 20, 68, 71, 55, 42, 52, 161, 2,  51819
 25, 81, 78, 56, 47, 58, 202, 3,  114857
 30, 98, 86, 58, 52, 64, 247, 5, 201376
 35, 110, 95, 58, 57, 67, 264, 6, 348239
 40, 123, 102, 59, 62, 70, 284, 10, 612942
 45, 136, 111, 60, 67, 73, 303, 14, 1076759
 50, 149, 119, 68, 73, 80, 329, 20, 1606076
 55, 163, 121, 79, 79, 87, 356, 21, 2135393
 60, 176, 125, 103, 85, 95, 380, 24, 2664710
 65, 186, 135, 113, 88, 99, 392, 27, 3194028
 70, 196, 145, 120, 91, 103, 406, 28, 3723345
 75, 206, 155, 120, 94, 108, 421, 28, 4252662
 80, 216, 165, 125, 97, 112, 436, 28, 4781979
 85, 226, 175, 129, 100, 116, 448, 29, 5311296
 90, 236, 185, 129, 103, 121, 464, 30, 5840613
 95, 246, 195, 130, 106, 125, 478, 30, 6369931
 99, 255, 201, 130, 110, 130, 494, 30, 6793384
