ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 20, 15, 45, 20," 
25", 40, 0,    0
 5, 28, 15, 45, 33, 30, 64, 0,    2988
 10, 38, 25, 48, 51,  30, 88, 1,   9467
 15, 48, 41, 52, 74, 40, 136, 1,   27382
 20, 58, 62, 55, 92, 52, 164, 2,  71453
 25, 63, 69, 56, 110, 58, 208, 3,  138414
 30, 66, 76, 58, 128, 64, 251, 5, 230315
 35, 71, 83, 58, 147, 67, 272, 6, 386335
 40, 81, 90, 59, 169, 70, 292, 10, 667570
 45, 91, 98, 60, 187, 73, 313, 14, 1160363
 50, 101, 105, 68, 197, 80, 342, 20, 1722758
 55, 111, 113, 80, 207, 87, 367, 21, 2285253
 60, 121, 120, 100, 217, 95, 398, 24, 2847548
 65, 131, 128, 111, 227, 99, 411, 27, 3409942
 70, 141, 135, 118, 237, 103, 423, 28, 3972337
 75, 151, 143, 118, 247, 108, 436, 28, 4534732
 80, 161, 151, 123, 252, 112, 449, 28, 5097127
 85, 171, 159, 127, 252, 116, 462, 29, 5659522
 90, 181, 167, 127, 252, 121, 477, 30, 6221917
 95, 181, 175, 128, 252,"
125", 492, 36, 6784312
 99, 199, 183, 128, 252,"
130", 506, 49, 7234227
