ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 18, 15, 17, 20," 
25", 25, 0,    0
 5, 20, 15, 23, 33, 30, 46, 0,    2988
 10, 30, 25, 30, 53,  30, 62, 1,   9467
 15, 37, 40, 34, 73, 40, 84, 1,   27382
 20, 41, 58, 40, 95, 53, 111, 2,  71453
 25, 48, 65, 48, 111, 59, 148, 3,  138414
 30, 55, 72, 57, 127, 65, 192, 5, 230315
 35, 59, 79, 61, 147, 68, 208, 6, 386335
 40, 63, 86, 62, 166, 71, 228, 10, 667570
 45, 67, 94, 63, 183, 74, 244, 14, 1160363
 50, 72, 101, 64, 193, 81, 253, 19, 1722758
 55, 78, 109, 64, 203, 88, 263, 20, 2285253
 60, 84, 116, 65, 213, 96, 272, 23, 2847548
 65, 90, 124, 68, 223, 100, 282, 26, 3409942
 70, 95, 129, 78, 233, 104, 292, 27, 3972337
 75, 100, 137, 88, 243, 109, 302, 27, 4534732
 80, 105, 145, 98, 248, 113, 312, 27, 5097127
 85, 110, 153, 108, 248, 117, 322, 28, 5659522
 90, 115, 163, 118, 248, 122, 332, 29, 6221917
 95, 120, 171, 128, 248,"
126", 342, 35, 6784312
 99, 125, 180, 130, 248,"
131", 348, 51, 7234227
