ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 16, 7, 9, 15," 
10", 10, 0,    0
 5, 36, 28, 21, 15, 12, 23, 10,    1468
 10, 53, 44, 31, 20,  27, 50, 15,   4555
 15, 56, 59, 36, 25, 30, 60, 20,   13353
 20, 61, 69, 41, 25, 30, 83, 43,  40135
 25, 74, 78, 51, 30, 40, 117, 48,  93513
 30, 87, 88, 61, 35, 52, 146, 53, 189754
 35, 94, 91, 67, 39, 54, 170, 60, 363228
 40, 101, 94, 73, 43, 56, 209, 67, 675887
 45, 109, 98, 79, 47, 59, 242, 75, 1223726
 50, 116, 114, 93, 51, 61, 282, 79, 1848935
 55, 124, 131, 107, 55, 64, 318, 83, 2474145
 60, 132, 149, 121, 60, 67, 354, 88, 3099354
 65, 139, 157, 124, 61, 69, 369, 91, 3724563
 70, 147, 163, 128, 62, 72, 389, 94, 4349773
 75, 154, 169, 132, 63, 74, 408, 97, 4974982
 80, 162, 176, 136, 65, 77, 425, 100, 5600192
 85, 178, 182, 139, 66, 79, 443, 103, 6225401
 90, 190, 188, 143, 67, 82, 461, 106, 6850610
 95, 206, 194, 147, 68,"
84", 478, 109, 7475820
 99, 214, 201, 151, 70,"
87", 500, 113, 7975987
