
 1, 8, 3, 5, 20,  3, 8, 2,    0
 5, 24, 23, 20, 23,  4, 53, 14,    1028
 10, 34, 29, 26, 30,  5, 71, 35,   3144
 15, 40, 47, 33, 46, 6, 78, 52,   11439
 20, 52, 69, 37, 66, 15, 109, 71,  36048
 25, 58, 105, 46, 76, 18, 137, 88,  84022
 30, 65, 138, 56, 82, 22, 166, 99, 170524
 35, 75, 200, 58, 85, 27, 184, 107, 326457
 40, 86, 237, 61, 89, 32, 204, 114, 607520
 45, 98, 240, 64, 94, 37, 225, 122, 1100000
 50, 106, 244, 67, 99, 37, 248, 128, 1662032
 55, 111, 249, 70, 99, 38, 277, 161, 2224065
 60, 116, 254, 73, 99, 39, 305, 195, 2786098
 65, 121, 255, 81, 99, 40, 332, 230, 3348130
 70, 126, 255, 90, 99, 41, 359, 230, 3910163
 75, 131, 255, 98, 99, 43, 386, 230, 4472196
 80, 136, 255, 107, 99, 44, 411, 236, 5034226
 85, 141, 255, 115, 99, 45, 437, 246, 5596261
 90, 146, 255, 124, 99, 47, 464, 256, 6158294
 95, 172, 255, 154, 116, 48, 486, 271, 6720326
 99, 207, 255, 174, 146, 50, 517, 286, 7169952
