
 1, 8, 3, 5, 1,  3, 8,0,    0
 5, 22, 21, 19, 5,  4, 52,0,    1028
10, 32,48, 25, 17,  5, 68,10,   3144
15, 38,55, 32, 27, 6,74,20,   11439
20, 50,72, 36,31, 15,104,30,  36048
25, 56,90,45,31, 18,134,37,  84022
30,63,108,55,31, 22,164,44, 170524
35,73,118,57,32, 26,179,49, 326457
40,84,129,60,35, 32,202,58, 607520
45,95,140,63,37, 37,222,66,1100000
50,103,163,66,38, 37,248,72,1662032
55,111,186,69,39, 38,274,78,2224065
60,120,210,72,40, 39,300,84,2786098
65,127,215,80,41, 40,326,86,3348130
70,135,221,89,42, 41,352,88,3910163
75,142,226,97,43, 43,378,90,4472196
80,150,232,106,45, 44,405,92,5034228
85,157,238,114,46, 45,431,94,5596261
90,165,243,123,47, 47,462,96,6158294
95,172,249,131,48,48,483,98,6720326
99,180,255,140,50,50,510,100,7169952
