ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 44, 20, 45, 20,  25, 40,6,    0
 5, 50, 31, 45, 20,  30, 64,20,    1891
10, 54,45, 48, 25,  30, 84,30,   5263
15, 60,59, 52, 31, 40,134,44,   14666
20, 68,70, 55,42, 52,160,60,  51819
25, 81,77,56,47, 58,205,76,  114857
30,95,85,58,52, 64,250,92, 201376
35,111,95,58,58, 67,274,103, 348239
40,121,101,59,62, 70,290,110, 612942
45,135,110,60,67, 73,310,120,1076759
50,148,118,68,73, 80,336,136,1606076
55,161,126,76,79, 87,363,153,2135393
60,175,135,85,85, 95,390,170,2664710
65,185,140,89,88, 99,403,180,3194028
70,195,146,93,91, 103,417,190,3723345
75,205,151,98,94, 108,431,200,4252662
80,215,157,102,97, 112,445,210,4781979
85,225,163,106,100, 116,458,220,5311296
90,235,168,111,103, 121,472,230,5840613
95,245,174,115,106,125,486,240,6369931
99,255,180,112,110,130,500,250,6793384
