ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 11, 7, 9, 15,  10, 10,0,    0
 5, 30, 30, 20, 15,  12, 40,10,    1468
10, 45,45, 30, 20,  30, 60,14,   4555
15, 50,60, 35, 25, 33,84,20,   13353
20, 60,70, 40,25, 33,110,40,  40135
25, 72,79,50,30, 44,140,45,  93513
30,85,89,60,35, 55,170,50, 189754
35,92,92,66,39, 57,196,57, 363228
40,99,95,72,43, 59,223,64, 675887
45,107,99,78,47, 62,250,72,1223726
50,114,116,92,51, 64,286,76,1848935
55,122,133,106,55, 67,323,80,2474145
60,130,150,120,60, 70,360,84,3099354
65,137,156,123,61, 72,377,87,3724563
70,145,162,127,62, 75,395,90,4349773
75,152,168,131,63, 77,412,93,4974982
80,160,175,135,65, 80,430,97,5600192
85,167,181,138,66, 82,447,100,6225401
90,175,187,142,67, 85,465,103,6850610
95,182,193,146,68,87,482,106,7475820
99,190,200,150,70,90,500,110,7975987
