ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
1,25,28,31,35,23,72,35,0
2,26,31,32,36,23,75,38,180
3,27,34,34,37,23,78,41,641
4,28,37,36,38,23,81,44,1827
5,30,40,38,40,23,84,48,3013
6,31,42,39,41,23,87,49,4200
7,32,44,40,42,23,90,51,5386
8,33,46,42,44,23,93,52,6572
9,34,48,43,45,23,96,54,7759
10,35,50,45,47,23,100,56,9094

11,35,52,46,48,26,106,59,10600
12,35,54,47,49,29,112,62,12298
13,36,57,48,50,33,118,65,14211
14,36,60,49,51,36,124,68,16364
15,37,63,50,53,40,130,72,18787
16,37,67,51,56,41,134,77,21514
17,37,71,52,59,42,138,83,24585
18,38,76,53,62,43,142,88,28042
19,38,80,54,65,44,146,94,31932
20,39,85,55,68,45,150,100,36553
21,39,87,56,72,45,155,105,42042
22,39,89,58,76,46,160,110,48562
23,39,91,59,80,46,165,115,56307
24,39,93,61,84,47,170,120,65508
25,39,96,62,89,47,175,125,76439
26,39,98,64,93,48,180,130,89420
27,39,100,65,97,48,185,135,104837
28,39,102,67,101,49,190,140,123150
29,39,104,68,105,49,195,145,144899
30,40,107,70,110,50,200,150,168687
31,40,108,71,112,55,207,160,194708
32,41,109,72,115,60,214,170,223171
33,41,110,74,118,65,222,180,254302
34,42,111,75,120,70,229,190,288353
35,42,113,76,123,75,236,200,325597
36,43,114,78,126,80,244,210,366355
37,43,115,79,128,85,251,220,410893
38,44,116,80,131,90,258,230,459631
39,44,117,82,134,95,266,240,512939
40,45,119,83,136,100,273,250,571247
41,45,120,84,139,105,280,260,635023
42,46,121,86,142,110,288,270,704778
43,46,122,87,144,115,295,280,781073
44,47,123,88,147,120,302,290,864521
45,48,125,90,150,125,310,300,950578
46,49,129,91,151,126,313,305,1039325
47,50,133,92,152,127,316,311,1130845
48,52,138,94,153,128,320,317,1225226
49,53,142,95,154,129,323,322,1322557
50,55,147,96,155,131,326,328,1422930
51,56,151,98,156,132,330,334,1526441
52,58,155,99,157,133,333,340,1633186
53,59,160,100,158,134,336,345,1743267
54,61,164,102,159,135,340,351,1856789
55,62,169,103,160,137,343,357,1973858
56,64,173,104,161,138,346,363,2094587
57,65,177,106,162,139,350,368,2219090
58,67,182,107,163,140,353,374,2347483
59,68,186,108,164,141,356,380,2479890
60,70,191,110,165,143,360,386,2612296
61,71,192,111,167,145,363,389,2744702
62,73,194,113,169,148,367,392,2877109
63,74,195,114,171,151,371,395,3009515
64,76,197,116,174,154,375,398,3141922
65,77,199,117,176,157,378,401,3274328
66,79,200,119,178,159,382,404,3406735
67,80,202,120,180,162,386,407,3539141
68,82,203,122,183,165,390,410,3671547
69,83,205,123,185,168,393,413,3803954
70,85,207,125,187,171,397,417,3936360
71,86,208,126,189,173,401,420,4068767
72,88,210,128,192,176,405,423,4201173
73,89,211,129,194,179,408,426,4333579
74,91,213,131,196,182,412,429,4465986
75,92,215,132,198,185,416,432,4598392
76,94,216,134,201,187,420,435,4730799
77,95,218,135,203,190,423,438,4863205
78,97,219,137,205,193,427,441,4995611
79,98,221,138,207,196,431,444,5128018
80,100,223,140,210,199,435,448,5260424
81,101,224,141,212,201,438,451,5392831
82,103,226,143,214,204,442,454,5525237
83,104,227,144,216,207,446,457,5657643
84,106,229,146,219,210,450,460,5790050
85,107,231,147,221,213,453,463,5922456
86,109,232,149,223,215,457,466,6054863
87,110,234,150,225,218,461,469,6187269
88,112,235,152,228,221,465,472,6319675
89,113,237,153,230,224,468,475,6452082
90,115,239,155,232,227,472,479,6584488
91,116,240,156,234,229,476,482,6716895
92,118,242,158,237,232,480,485,6849301
93,119,243,159,239,235,483,488,6981707
94,121,245,161,241,238,487,491,7114114
95,122,247,162,243,241,491,494,7246520
96,124,248,164,246,243,495,497,7378927
97,125,250,165,248,246,498,500,7511333
98,127,251,167,250,249,502,503,7643740
99,130,255,170,255,255,510,510,7776146
