
 1, 35, 8, 10, 12,  12, 47,0,    0
 5, 40, 8, 12, 15,  13, 70,0,    2047
10, 53,10, 15, 21,  13, 107,0,   7806
15, 70,16, 19, 25, 15,160,0,   28079
20, 94,26, 21,25, 20,216,0,  82305
25, 126,37,24,25, 28,261,0,  167229
30,142,42,29,29, 34,307,0, 312790
35,153,46,34,34, 39,353,0, 575161
40,165,50,40,40, 45,400,0, 1034904
45,181,52,43,42, 48,420,0,1559577
50,197,55,47,45, 52,440,0,2084250
55,213,57,51,47, 56,460,0,2608923
60,230,60,55,50, 60,480,0,3133596
65,233,61,60,51, 60,483,0,3658269
70,236,62,66,52, 60,487,0,4182942
75,239,63,71,53, 60,491,0,4707615
80,242,65,77,55, 60,495,0,5232288
85,245,66,83,56, 60,498,0,5756961
90,248,67,88,57, 60,502,0,6281634
95,251,68,94,58,60,506,0,6806307
99,255,70,100,60,60,510,0,7226045
