ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 44, 20, 45, 20,  25, 40, 0,    0
 5, 50, 32, 45, 20,  30, 60, 0,    1891
 10, 54, 48, 48, 25,  30, 81, 1,   5263
 15, 60, 61, 52, 31, 40, 139, 1,   14666
 20, 68, 71, 55, 42, 51, 162, 2,  51819
 25, 83, 78, 56, 47, 57, 206, 3,  114857
 30, 96, 86, 58, 52, 63, 254, 5, 201376
 35, 111, 94, 58, 57, 66, 277, 6, 348239
 40, 125, 102, 59, 62, 69, 299, 10, 612942
 45, 138, 111, 60, 67, 72, 318, 14, 1076759
 50, 151, 119, 68, 73, 79, 343, 20, 1606076
 55, 164, 121, 79, 79, 86, 370, 21, 2135393
 60, 177, 125, 103, 85, 94, 396, 24, 2664710
 65, 187, 135, 113, 88, 98, 409, 27, 3194028
 70, 197, 145, 120, 91, 102, 422, 28, 3723345
 75, 207, 155, 120, 94, 107, 436, 28, 4252662
 80, 217, 165, 125, 97, 111, 451, 28, 4781979
 85, 227, 175, 129, 100, 115, 463, 29, 5311296
 90, 237, 185, 129, 103, 120, 478, 30, 5840613
 95, 247, 195, 130, 106, 124, 492, 30, 6369931
 99, 255, 201, 130, 110, 129, 507, 30, 6793384
