ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 52, 8, 50, 20,  25, 60, 0,    0
 5, 65, 11, 52, 20,  30, 78, 0,    692
 10, 83, 16, 57, 25,  30, 112, 0,   2877
 15, 90, 21, 62, 31, 40, 131, 0,   7790
 20, 97, 26, 67, 42, 51, 147, 0,  42549
 25, 114, 31, 79, 47, 57, 208, 0,  117207
 30, 133, 32, 89, 52, 63, 275, 0, 234107
 35, 148, 32, 101, 57, 66, 320, 0, 417113
 40, 163, 32, 105, 62, 69, 361, 0, 703613
 45, 178, 37, 106, 67, 72, 401, 0, 1142995
 50, 189, 42, 106, 73, 79, 417, 0, 1629644
 55, 202, 42, 106, 79, 86, 434, 0, 2116293
 60, 214, 42, 106, 85, 94, 454, 0, 2602943
 65, 222, 42, 106, 88, 98, 464, 0, 3089592
 70, 230, 44, 106, 91, 102, 476, 0, 3576241
 75, 238, 44, 132, 94, 107, 489, 0, 4062891
 80, 246, 46, 138, 96, 111, 500, 0, 4549540
 85, 254, 46, 144, 96, 115, 511, 0, 5036190
 90, 255, 46, 144, 96, 120, 522, 0, 5522839
 95, 255, 48, 149, 97, 124, 533, 0, 6009488
 99, 255, 49, 154, 100, 129, 544, 0, 6398808
