ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
 1, 20, 15, 45, 20," 
25", 40, 0,    0
 5, 29, 15, 45, 31, 30, 64, 0,    2988
 10, 39, 25, 48, 53,  30, 84, 1,   9467
 15, 49, 40, 52, 74, 40, 133, 1,   27382
 20, 59, 59, 55, 92, 51, 158, 2,  71453
 25, 64, 66, 56, 113, 57, 203, 3,  138414
 30, 67, 73, 58, 132, 63, 250, 5, 230315
 35, 72, 80, 58, 152, 66, 268, 6, 386335
 40, 82, 87, 59, 170, 69, 289, 10, 667570
 45, 92, 95, 60, 187, 72, 312, 14, 1160363
 50, 102, 102, 68, 197, 79, 339, 21, 1722758
 55, 112, 110, 81, 207, 86, 363, 22, 2285253
 60, 122, 117, 105, 217, 94, 392, 25, 2847548
 65, 132, 125, 116, 227, 98, 406, 28, 3409942
 70, 142, 132, 123, 237, 102, 420, 29, 3972337
 75, 152, 140, 123, 247, 107, 434, 29, 4534732
 80, 162, 148, 128, 252, 111, 449, 29, 5097127
 85, 172, 156, 132, 252, 115, 462, 30, 5659522
 90, 182, 164, 132, 252, 120, 477, 31, 6221917
 95, 192, 172, 133, 252,"
124", 492, 35, 6784312
 99, 200, 181, 133, 252,"
129", 508, 51, 7234227
