
 1, 18, 15, 17, 20," 
25", 25, 0,    0
 5, 20, 15, 23, 31, 30, 46, 0,    2988
 10, 30, 25, 30, 53,  30, 64, 1,   9467
 15, 37, 40, 34, 74, 40, 84, 1,   27382
 20, 41, 56, 40, 91, 51, 108, 2,  71453
 25, 48, 63, 49, 112, 57, 151, 3,  138414
 30, 55, 70, 58, 133, 63, 192, 5, 230315
 35, 59, 77, 62, 153, 66, 207, 6, 386335
 40, 63, 84, 63, 172, 69, 224, 10, 667570
 45, 67, 92, 64, 191, 72, 243, 14, 1160363
 50, 72, 99, 64, 201, 79, 251, 20, 1722758
 55, 78, 108, 64, 210, 86, 261, 21, 2285253
 60, 84, 116, 65, 219, 94, 271, 24, 2847548
 65, 90, 124, 68, 229, 98, 281, 27, 3409942
 70, 95, 131, 78, 239, 102, 291, 28, 3972337
 75, 100, 139, 88, 249, 107, 301, 28, 4534732
 80, 105, 147, 98, 254, 111, 311, 28, 5097127
 85, 110, 155, 108, 254, 115, 321, 29, 5659522
 90, 115, 163, 118, 254, 120, 331, 30, 6221917
 95, 120, 171, 128, 254,"
124", 341, 35, 6784312
 99, 125, 179, 130, 254,"
129", 348, 49, 7234227
