ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
	1	,	24	,	20	,	18	,	14	,	9	,	26	,	6	, 
	2	,	27	,	23	,	20	,	15	,	11	,	31	,	8	,	150	
	3	,	30	,	27	,	22	,	17	,	13	,	37	,	9	,	350	
	4	,	33	,	30	,	24	,	18	,	15	,	42	,	11	,	758	
	5	,	36	,	34	,	26	,	19	,	17	,	48	,	12	,	1357	
	6	,	39	,	37	,	28	,	21	,	19	,	53	,	14	,	1864	
	7	,	42	,	40	,	29	,	22	,	21	,	58	,	15	,	2493	
	8	,	45	,	43	,	31	,	23	,	23	,	64	,	17	,	2986	
	9	,	48	,	48	,	33	,	25	,	25	,	70	,	18	,	3596	
	10	,	51	,	51	,	35	,	26	,	26	,	75	,	20	,	4386	
	11	,	54	,	54	,	37	,	27	,	28	,	81	,	21	,	5252	
	12	,	57	,	57	,	38	,	28	,	30	,	86	,	22	,	6535	
	13	,	59	,	60	,	40	,	29	,	32	,	91	,	24	,	8130	
	14	,	62	,	63	,	41	,	31	,	34	,	97	,	25	,	9941	
	15	,	65	,	66	,	43	,	32	,	36	,	103	,	27	,	12448	
	16	,	68	,	69	,	45	,	33	,	37	,	109	,	28	,	15810	
	17	,	71	,	72	,	46	,	34	,	39	,	114	,	29	,	19231	
	18	,	73	,	75	,	48	,	35	,	41	,	119	,	31	,	24456	
	19	,	76	,	78	,	49	,	36	,	43	,	125	,	32	,	30919	
	20	,	79	,	81	,	51	,	37	,	44	,	130	,	33	,	37571	
	21	,	81	,	84	,	52	,	38	,	46	,	135	,	35	,	45902	
	22	,	84	,	87	,	53	,	39	,	48	,	140	,	36	,	56162	
	23	,	87	,	89	,	55	,	40	,	50	,	145	,	37	,	66285	
	24	,	89	,	92	,	56	,	41	,	51	,	151	,	38	,	76833	
	25	,	92	,	95	,	57	,	42	,	53	,	156	,	40	,	90341	
	26	,	94	,	99	,	59	,	43	,	55	,	161	,	41	,	104222	
	27	,	97	,	102	,	60	,	44	,	56	,	167	,	42	,	121101	
	28	,	101	,	104	,	61	,	45	,	58	,	172	,	43	,	139233	
	29	,	103	,	107	,	62	,	45	,	60	,	177	,	45	,	161485	
	30	,	106	,	110	,	63	,	46	,	61	,	183	,	46	,	185668	
	31	,	108	,	113	,	65	,	47	,	63	,	189	,	47	,	208269	
	32	,	111	,	115	,	65	,	48	,	64	,	195	,	48	,	239918	
	33	,	113	,	118	,	66	,	49	,	66	,	201	,	49	,	270738	
	34	,	115	,	120	,	66	,	49	,	67	,	206	,	50	,	308074	
	35	,	118	,	123	,	67	,	50	,	69	,	211	,	51	,	353422	
	36	,	120	,	126	,	67	,	51	,	70	,	216	,	52	,	400508	
	37	,	123	,	128	,	68	,	51	,	72	,	221	,	54	,	457091	
	38	,	125	,	131	,	68	,	52	,	73	,	226	,	55	,	512237	
	39	,	127	,	133	,	69	,	53	,	75	,	231	,	56	,	581321	
	40	,	129	,	136	,	69	,	53	,	76	,	236	,	57	,	658824	
	41	,	133	,	138	,	70	,	54	,	78	,	241	,	58	,	734957	
	42	,	135	,	142	,	70	,	55	,	79	,	246	,	59	,	836189	
	43	,	137	,	144	,	71	,	55	,	81	,	251	,	60	,	941150	
	44	,	139	,	147	,	71	,	56	,	82	,	256	,	61	,	1060247	
	45	,	143	,	149	,	72	,	56	,	83	,	261	,	62	,	1191509	
	46	,	145	,	152	,	73	,	57	,	85	,	266	,	63	,	1314669	
	47	,	147	,	154	,	73	,	57	,	86	,	272	,	63	,	1437072	
	48	,	149	,	156	,	74	,	58	,	88	,	277	,	64	,	1579102	
	49	,	151	,	160	,	74	,	58	,	89	,	282	,	65	,	1680445	
	50	,	153	,	162	,	75	,	59	,	90	,	287	,	66	,	1818177	
	51	,	155	,	164	,	76	,	59	,	92	,	292	,	67	,	1940942	
	52	,	157	,	166	,	76	,	59	,	93	,	297	,	68	,	2077588	
