ÉåÉxÉã,óÕ,ëfëÅÇ≥,éÁÇË,å´Ç≥,â^,ÇgÇo,ÇlÇo,ïKóvåoå±íl
1,11,5,3,6,4,24,0,0
2,14,6,3,7,4,28,3,19
3,17,8,4,8,4,32,7,58
4,20,9,5,9,4,36,10,139
5,23,11,6,10,4,40,14,269
6,26,13,7,12,4,47,16,475
7,29,15,8,14,4,54,19,804
8,32,17,9,16,4,61,22,1334
9,35,19,10,18,4,68,25,2170
10,38,21,11,21,4,76,28,3268
11,40,23,12,23,4,84,31,4718
12,42,26,13,25,5,92,35,6622
13,44,29,14,28,6,100,38,9127
14,46,32,15,30,7,108,42,12419
15,49,35,16,33,8,116,46,16328
16,52,39,17,35,12,124,49,20972
17,55,43,18,37,17,132,52,26490
18,58,47,19,40,21,140,55,33046
19,61,51,20,42,26,148,58,40831
20,65,55,22,45,31,156,62,49594
21,69,57,23,45,34,164,67,59452
22,73,59,24,46,37,172,73,70543
23,77,61,25,47,40,180,79,83021
24,81,63,26,47,43,188,85,97061
25,85,65,28,48,46,196,91,112856
26,89,67,29,49,49,204,96,130628
27,93,69,30,49,52,212,102,150623
28,97,71,31,50,55,220,108,173118
29,101,73,32,51,58,228,114,198426
30,105,75,34,52,61,236,120,226109
31,107,76,34,53,63,242,123,256388
32,110,78,35,54,65,249,129,289507
33,113,80,36,56,67,256,130,325732
34,116,82,36,57,69,263,133,365354
35,119,84,37,58,72,270,136,408692
36,122,85,38,60,74,277,140,456094
37,125,87,39,61,76,284,143,507942
38,128,89,39,62,78,291,146,564650
39,131,91,40,64,80,298,150,626676
40,134,93,41,65,83,305,153,694517
41,137,94,42,66,85,312,156,768721
42,140,96,42,68,87,319,160,849883
43,143,98,43,69,89,326,163,938656
44,146,100,44,70,91,333,166,1035752
45,149,102,45,72,94,340,170,1132848
46,151,105,46,73,95,345,175,1229943
47,153,108,47,74,97,351,180,1327039
48,156,111,49,75,99,357,186,1424135
49,158,114,50,76,101,363,191,1521231
50,161,118,51,78,103,369,196,1618326
51,163,121,53,79,104,375,202,1715422
52,165,124,54,80,106,381,207,1812518
53,168,127,55,81,108,386,212,1909613
54,170,130,57,82,110,392,218,2006709
55,173,134,58,84,112,398,223,2103805
56,175,137,59,85,113,404,228,2200901
57,177,140,61,86,115,410,234,2297996
58,180,143,62,87,117,416,239,2395092
59,182,146,63,88,119,422,244,2492188
60,185,150,65,90,121,428,250,2589283
61,186,151,66,92,124,430,256,2686379
62,188,152,68,94,127,432,262,2783475
63,190,153,69,96,130,434,268,2880571
64,192,155,71,99,133,436,275,2977666
65,193,156,73,101,136,438,281,3074762
66,195,157,74,103,139,440,287,3171858
67,197,158,76,105,142,442,293,3268953
68,199,160,78,108,145,444,300,3366049
69,200,161,79,110,148,446,306,3463145
70,202,162,81,112,151,448,312,3560241
71,204,163,82,114,154,450,318,3657336
72,206,165,84,117,157,452,325,3754432
73,207,166,86,119,160,454,331,3851528
74,209,167,87,121,163,456,337,3948624
75,211,168,89,123,166,458,343,4045719
76,213,170,91,126,169,460,350,4142815
77,214,171,92,128,172,462,356,4239911
78,216,172,94,130,175,464,362,4337006
79,218,173,95,132,178,466,368,4434102
80,220,175,97,135,181,469,375,4531198
81,221,176,99,137,184,471,381,4628294
82,223,177,100,139,187,473,387,4725389
83,225,178,102,141,190,475,393,4822485
84,227,180,104,144,193,477,400,4919581
85,228,181,105,146,196,479,406,5016676
86,230,182,107,148,199,481,412,5113772
87,232,183,108,150,202,483,418,5210868
88,234,185,110,153,205,485,425,5307964
89,235,186,112,155,208,487,431,5405059
90,237,187,113,157,211,489,437,5502155
91,239,188,115,159,214,491,443,5599251
92,241,190,117,162,217,493,450,5696346
93,242,191,118,164,220,495,456,5793442
94,244,192,120,166,223,497,462,5890538
95,246,193,121,168,226,499,468,5987634
96,248,195,123,171,229,501,475,6084729
97,249,196,125,173,232,503,481,6181825
98,251,197,126,175,235,505,487,6278921
99,255,200,130,180,242,510,500,6376016
